 &plot nbnd=  80, nks=    49 /
            0.000000  0.000000  0.000000
  -77.748  -77.735  -77.735  -41.114  -41.048  -41.035  -41.035  -41.035  -41.034  -40.971
  -40.971  -40.956   -4.928   -4.829   -4.829   -4.814   -4.814   -4.767   -4.747   -4.747
   -4.710   -4.710   -4.668   -4.668   -4.656   -4.656   -4.613    5.373    9.909   11.496
   12.680   12.680   13.347   13.699   14.087   14.124   14.124   14.678   14.678   15.111
   15.111   16.200   16.200   16.233   16.274   16.274   17.138   17.229   17.974   17.974
   19.487   20.195   21.721   21.721   22.453   23.188   23.188   23.322   25.265   25.265
   25.595   26.185   26.185   27.755   27.755   28.856   31.995   31.995   32.211   34.408
   34.502   34.502   35.149   35.390   35.390   36.469   36.837   36.837   37.393   37.645
            0.027775  0.048108  0.000000
  -77.748  -77.735  -77.735  -41.113  -41.048  -41.035  -41.035  -41.035  -41.034  -40.971
  -40.971  -40.956   -4.928   -4.831   -4.830   -4.815   -4.815   -4.768   -4.746   -4.746
   -4.708   -4.708   -4.668   -4.668   -4.657   -4.656   -4.613    5.390    9.899   11.356
   12.636   12.766   13.351   13.696   14.088   14.166   14.167   14.679   14.682   15.103
   15.117   16.202   16.209   16.228   16.272   16.288   17.138   17.268   17.985   17.995
   19.505   20.187   21.648   21.715   22.401   22.746   23.175   23.756   25.292   25.383
   25.663   26.228   26.263   27.585   27.707   28.721   32.071   32.173   32.404   34.199
   34.287   34.315   34.978   35.228   35.342   36.356   36.819   37.032   37.169   37.760
            0.055550  0.096215  0.000000
  -77.748  -77.735  -77.735  -41.112  -41.048  -41.035  -41.035  -41.034  -41.034  -40.973
  -40.971  -40.957   -4.927   -4.837   -4.833   -4.816   -4.815   -4.771   -4.745   -4.743
   -4.703   -4.702   -4.666   -4.666   -4.659   -4.656   -4.614    5.442    9.865   11.034
   12.526   12.933   13.364   13.702   14.090   14.260   14.289   14.679   14.693   15.076
   15.133   16.207   16.211   16.233   16.266   16.330   17.140   17.372   18.023   18.062
   19.561   20.162   21.449   21.669   22.248   22.307   23.146   24.222   25.343   25.702
   25.841   26.366   26.486   27.147   27.579   28.467   32.278   32.396   33.055   33.551
   33.711   33.902   34.859   34.898   35.211   36.016   36.505   37.112   37.167   38.184
            0.083325  0.144323  0.000000
  -77.747  -77.736  -77.735  -41.109  -41.047  -41.035  -41.035  -41.034  -41.032  -40.975
  -40.972  -40.958   -4.926   -4.846   -4.837   -4.818   -4.816   -4.775   -4.743   -4.739
   -4.696   -4.695   -4.664   -4.663   -4.662   -4.656   -4.614    5.528    9.801   10.643
   12.399   13.084   13.385   13.731   14.092   14.353   14.456   14.681   14.718   15.034
   15.161   16.184   16.208   16.257   16.262   16.404   17.148   17.500   18.117   18.195
   19.666   20.112   21.169   21.529   21.762   22.285   23.131   24.633   25.395   25.836
   26.140   26.617   26.830   26.830   27.413   28.225   32.299   32.482   33.031   33.100
   33.282   33.895   34.575   34.830   35.023   35.455   36.283   37.021   37.234   38.138
            0.111100  0.192431  0.000000
  -77.747  -77.736  -77.735  -41.106  -41.047  -41.036  -41.036  -41.034  -41.029  -40.979
  -40.973  -40.959   -4.925   -4.857   -4.841   -4.819   -4.817   -4.778   -4.741   -4.733
   -4.689   -4.689   -4.667   -4.660   -4.657   -4.656   -4.615    5.647    9.698   10.231
   12.299   13.202   13.414   13.783   14.093   14.415   14.621   14.683   14.767   14.979
   15.198   16.148   16.197   16.243   16.291   16.509   17.166   17.595   18.294   18.419
   19.836   20.035   20.845   21.294   21.310   22.365   23.155   24.971   25.278   25.452
   26.570   26.995   27.037   27.266   27.315   28.055   31.517   31.943   32.538   33.117
   33.429   33.994   34.272   34.805   34.828   35.568   36.100   36.922   37.305   38.038
            0.138875  0.240539  0.000000
  -77.746  -77.737  -77.735  -41.101  -41.046  -41.037  -41.036  -41.034  -41.026  -40.983
  -40.974  -40.961   -4.924   -4.869   -4.844   -4.821   -4.817   -4.781   -4.740   -4.728
   -4.684   -4.683   -4.672   -4.656   -4.654   -4.652   -4.617    5.801    9.553    9.823
   12.256   13.293   13.450   13.852   14.091   14.434   14.684   14.748   14.844   14.915
   15.245   16.104   16.166   16.226   16.319   16.648   17.193   17.638   18.528   18.752
   19.928   20.091   20.502   20.847   21.073   22.509   23.234   24.552   25.241   25.516
   26.675   27.239   27.490   27.589   27.771   28.130   30.644   31.141   31.751   33.237
   33.463   33.974   33.978   34.575   34.881   35.906   36.514   36.870   37.381   37.772
            0.166650  0.288646  0.000000
  -77.746  -77.737  -77.735  -41.096  -41.046  -41.038  -41.037  -41.034  -41.023  -40.987
  -40.975  -40.962   -4.923   -4.881   -4.846   -4.821   -4.817   -4.784   -4.740   -4.722
   -4.680   -4.679   -4.677   -4.656   -4.646   -4.646   -4.618    5.988    9.369    9.428
   12.280   13.367   13.494   13.929   14.083   14.418   14.686   14.822   14.848   14.945
   15.301   16.053   16.113   16.206   16.345   16.821   17.229   17.651   18.764   19.183
   19.796   20.145   20.424   20.444   20.862   22.688   23.372   23.847   25.466   25.583
   26.534   27.175   28.078   28.118   28.322   28.463   29.896   30.389   30.969   32.387
   33.681   33.687   34.345   34.561   35.090   35.714   36.869   37.232   37.246   37.269
            0.194425  0.336754  0.000000
  -77.745  -77.738  -77.735  -41.091  -41.045  -41.040  -41.037  -41.034  -41.019  -40.991
  -40.976  -40.964   -4.922   -4.891   -4.846   -4.822   -4.817   -4.788   -4.742   -4.716
   -4.682   -4.677   -4.677   -4.656   -4.640   -4.638   -4.619    6.206    9.055    9.160
   12.369   13.429   13.542   14.003   14.066   14.382   14.686   14.785   14.849   15.059
   15.364   15.998   16.044   16.183   16.370   17.027   17.280   17.650   18.974   19.646
   19.654   19.785   20.025   20.734   20.849   22.883   23.245   23.565   25.645   25.671
   26.373   27.030   28.334   28.495   28.730   28.858   29.804   29.909   30.260   31.522
   33.399   33.705   34.123   35.189   35.511   35.529   36.409   36.602   36.868   37.187
            0.222200  0.384862  0.000000
  -77.744  -77.739  -77.735  -41.085  -41.044  -41.043  -41.038  -41.034  -41.015  -40.995
  -40.977  -40.966   -4.922   -4.900   -4.844   -4.821   -4.816   -4.792   -4.746   -4.711
   -4.685   -4.675   -4.675   -4.655   -4.636   -4.632   -4.619    6.456    8.706    8.938
   12.516   13.479   13.596   14.038   14.045   14.352   14.681   14.731   14.839   15.180
   15.433   15.939   15.966   16.158   16.394   17.266   17.351   17.645   19.150   19.422
   19.488   19.653   19.966   20.868   21.188   22.873   23.070   23.803   25.681   25.873
   26.251   26.893   27.666   28.235   28.988   29.428   30.021   30.148   30.309   30.746
   33.131   33.591   33.913   35.301   35.620   35.869   35.872   36.043   36.717   36.888
            0.249975  0.432969  0.000000
  -77.744  -77.739  -77.735  -41.079  -41.047  -41.043  -41.039  -41.034  -41.011  -40.998
  -40.978  -40.969   -4.923   -4.906   -4.840   -4.820   -4.814   -4.797   -4.750   -4.707
   -4.688   -4.674   -4.673   -4.654   -4.632   -4.628   -4.617    6.733    8.386    8.719
   12.708   13.518   13.654   13.998   14.011   14.367   14.670   14.690   14.807   15.304
   15.506   15.879   15.885   16.131   16.418   17.451   17.536   17.642   19.010   19.307
   19.329   19.350   19.980   21.248   21.379   22.922   23.224   24.071   25.664   26.081
   26.192   26.644   27.126   27.645   28.432   29.783   30.158   30.538   30.801   31.195
   32.882   33.422   33.717   34.870   35.108   35.122   36.075   36.113   36.804   36.830
            0.277750  0.481077  0.000000
  -77.743  -77.740  -77.735  -41.074  -41.052  -41.043  -41.040  -41.034  -41.007  -41.000
  -40.978  -40.971   -4.925   -4.909   -4.834   -4.818   -4.813   -4.803   -4.755   -4.703
   -4.690   -4.673   -4.672   -4.654   -4.630   -4.627   -4.615    7.033    8.096    8.515
   12.935   13.545   13.713   13.895   13.948   14.424   14.645   14.663   14.770   15.423
   15.579   15.802   15.820   16.106   16.438   17.588   17.647   17.832   18.633   18.989
   19.179   19.503   19.895   21.082   22.038   23.288   23.318   24.347   25.555   26.125
   26.194   26.302   27.060   27.079   27.781   29.019   30.902   31.226   31.540   31.972
   32.658   33.239   33.536   34.173   34.387   34.901   35.461   35.592   37.388   37.494
            0.305525  0.529185  0.000000
  -77.742  -77.741  -77.735  -41.068  -41.057  -41.042  -41.041  -41.034  -41.005  -41.002
  -40.978  -40.973   -4.927   -4.910   -4.827   -4.817   -4.813   -4.810   -4.759   -4.699
   -4.693   -4.672   -4.672   -4.653   -4.628   -4.627   -4.613    7.342    7.837    8.345
   13.181   13.559   13.721   13.773   13.891   14.491   14.604   14.650   14.746   15.533
   15.650   15.717   15.763   16.086   16.454   17.660   17.766   18.146   18.276   18.699
   19.051   19.639   19.803   20.912   22.701   23.337   23.590   24.588   25.328   25.845
   26.120   26.540   26.791   27.105   27.199   28.373   31.622   31.905   32.228   32.490
   32.700   33.083   33.357   33.576   33.700   34.657   34.849   35.089   37.942   38.244
            0.333300  0.577293  0.000000
  -77.742  -77.741  -77.735  -41.062  -41.062  -41.041  -41.041  -41.034  -41.004  -41.002
  -40.976  -40.976   -4.928   -4.910   -4.819   -4.819   -4.814   -4.814   -4.760   -4.696
   -4.696   -4.672   -4.672   -4.653   -4.628   -4.628   -4.612    7.611    7.612    8.261
   13.370   13.561   13.561   13.833   13.833   14.551   14.551   14.646   14.738   15.629
   15.629   15.709   15.709   16.077   16.461   17.675   17.982   17.983   18.438   18.438
   18.985   19.730   19.730   20.845   23.084   23.455   23.456   24.701   25.253   25.889
   25.889   26.795   26.795   26.957   26.958   28.095   32.101   32.101   32.545   32.600
   33.058   33.058   33.172   33.300   33.300   34.517   34.517   34.869   38.306   38.858
            0.347192  0.553241  0.000000
  -77.742  -77.741  -77.735  -41.065  -41.060  -41.042  -41.041  -41.034  -41.004  -41.002
  -40.977  -40.974   -4.928   -4.910   -4.823   -4.816   -4.814   -4.813   -4.760   -4.698
   -4.694   -4.672   -4.672   -4.653   -4.628   -4.628   -4.612    7.511    7.690    8.293
   13.295   13.558   13.631   13.804   13.861   14.525   14.576   14.647   14.740   15.584
   15.672   15.684   15.732   16.080   16.459   17.663   17.890   18.104   18.319   18.536
   19.015   19.704   19.752   20.862   23.026   23.238   23.653   24.665   25.249   25.828
   25.996   26.706   26.794   26.929   27.136   28.153   31.994   32.065   32.490   32.491
   32.958   33.029   33.177   33.367   33.499   34.522   34.604   34.973   38.080   38.745
            0.361083  0.529190  0.000000
  -77.742  -77.741  -77.735  -41.068  -41.057  -41.042  -41.041  -41.034  -41.005  -41.002
  -40.978  -40.973   -4.927   -4.910   -4.828   -4.817   -4.812   -4.809   -4.759   -4.700
   -4.693   -4.672   -4.672   -4.653   -4.628   -4.628   -4.613    7.420    7.713    8.392
   13.156   13.552   13.750   13.777   13.889   14.500   14.597   14.649   14.745   15.539
   15.661   15.711   15.749   16.089   16.452   17.616   17.859   18.208   18.231   18.575
   19.114   19.686   19.760   20.909   22.903   22.978   23.818   24.557   25.230   25.849
   26.027   26.703   26.731   27.068   27.355   28.298   31.820   31.884   32.312   32.355
   32.730   32.927   33.131   33.647   33.854   34.473   34.859   35.260   37.602   38.324
            0.374975  0.505138  0.000000
  -77.742  -77.741  -77.735  -41.070  -41.055  -41.042  -41.040  -41.034  -41.006  -41.001
  -40.979  -40.971   -4.927   -4.910   -4.833   -4.819   -4.811   -4.805   -4.757   -4.702
   -4.691   -4.672   -4.672   -4.654   -4.628   -4.628   -4.613    7.336    7.698    8.539
