DHT_dihydrotestosterone	-6.763
finasteride	-6.453
testosterone	-6.703
WAY-316606	-5.958
2-naphthylguanidine	-5.768
4-guanidinobenzoic_acid	-5
tyramine-guanidine_hybrid	-5.106
