level_idx,mesh_size_m,n_nodes,n_elements,t_max_k,delta_t_k,delta_t_k_step,wall_s
0,0.0015,2014,5748,353.7596897114983,60.60968971149833,,0.3136441707611084
1,0.001,4211,12394,353.7596897114503,60.6096897114503,-4.803268893738277e-11,0.323458194732666
2,0.0007,8492,24807,353.75968971385856,60.609689713858586,2.408285126875853e-09,0.672288179397583
3,0.0005,20510,74587,353.7596897099354,60.609689709935424,-3.923162239516387e-09,2.017971992492676
