ligand	dG_LDHA	dG_LDHB	gap(LDHA-LDHB)
4-guanidinobenzoic_acid	NA	NA	NA
4-hydroxymandelic_acid	NA	NA	NA
FX-11	NA	NA	NA
gallic_acid	NA	NA	NA
galloflavin	NA	NA	NA
GSK2837808A	NA	NA	NA
hydroxy-oxindole-carboxylate	NA	NA	NA
oxamate	NA	NA	NA
