 0.00000000e+00  4.00000000e+02  0.00000000e+00  6.00000000e+02  0.00000000e+00 -2.00000000e+04 
 5.00000000e-11  4.00000000e+02  5.00000000e-11  6.00000000e+02  5.00000000e-11 -2.00000000e+04 
 1.00000000e-10  4.00000000e+02  1.00000000e-10  6.00000000e+02  1.00000000e-10 -2.00000000e+04 
 2.00000000e-10  4.00000000e+02  2.00000000e-10  6.00000000e+02  2.00000000e-10 -2.00000000e+04 
 4.00000000e-10  4.00000000e+02  4.00000000e-10  6.00000000e+02  4.00000000e-10 -2.00000000e+04 
 8.00000000e-10  4.00000000e+02  8.00000000e-10  6.00000000e+02  8.00000000e-10 -2.00000000e+04 
 1.60000000e-09  4.00000000e+02  1.60000000e-09  6.00000000e+02  1.60000000e-09 -2.00000000e+04 
 3.20000000e-09  4.00000000e+02  3.20000000e-09  6.00000000e+02  3.20000000e-09 -2.00000000e+04 
 6.40000000e-09  4.00000000e+02  6.40000000e-09  6.00000000e+02  6.40000000e-09 -2.00000000e+04 
 1.14000000e-08  4.00000000e+02  1.14000000e-08  6.00000000e+02  1.14000000e-08 -2.00000000e+04 
 1.64000000e-08  4.00000000e+02  1.64000000e-08  6.00000000e+02  1.64000000e-08 -2.00000000e+04 
 2.14000000e-08  4.00000000e+02  2.14000000e-08  6.00000000e+02  2.14000000e-08 -2.00000000e+04 
 2.64000000e-08  4.00000000e+02  2.64000000e-08  6.00000000e+02  2.64000000e-08 -2.00000000e+04 
 3.14000000e-08  4.00000000e+02  3.14000000e-08  6.00000000e+02  3.14000000e-08 -2.00000000e+04 
 3.64000000e-08  4.00000000e+02  3.64000000e-08  6.00000000e+02  3.64000000e-08 -2.00000000e+04 
 4.14000000e-08  4.00000000e+02  4.14000000e-08  6.00000000e+02  4.14000000e-08 -2.00000000e+04 
 4.64000000e-08  4.00000000e+02  4.64000000e-08  6.00000000e+02  4.64000000e-08 -2.00000000e+04 
 5.14000000e-08  4.00000000e+02  5.14000000e-08  6.00000000e+02  5.14000000e-08 -2.00000000e+04 
 5.64000000e-08  4.00000000e+02  5.64000000e-08  6.00000000e+02  5.64000000e-08 -2.00000000e+04 
 6.14000000e-08  4.00000000e+02  6.14000000e-08  6.00000000e+02  6.14000000e-08 -2.00000000e+04 
 6.64000000e-08  4.00000000e+02  6.64000000e-08  6.00000000e+02  6.64000000e-08 -2.00000000e+04 
 7.14000000e-08  4.00000000e+02  7.14000000e-08  6.00000000e+02  7.14000000e-08 -2.00000000e+04 
