 &plot nbnd=  50, nks=    49 /
            0.000000  0.000000  0.000000
  -45.385  -45.259  -45.259  -19.979  -19.652  -19.652  -19.540  -19.409  -19.409  -19.157
  -18.987  -18.987   -5.920   -5.850   -5.850   -5.832   -5.818   -5.818   -5.808   -5.808
   -5.775   -5.775   -5.769   -5.769   -5.742   -5.742   -5.730    5.374    7.791   10.388
   11.068   11.546   11.767   11.767   13.114   13.114   13.312   13.859   13.859   13.888
   13.888   16.607   16.607   16.712   17.029   17.029   17.641   17.775   19.055   19.055
            0.027775  0.048108  0.000000
  -45.384  -45.260  -45.259  -19.975  -19.651  -19.649  -19.539  -19.410  -19.409  -19.159
  -18.993  -18.988   -5.919   -5.851   -5.850   -5.832   -5.818   -5.818   -5.807   -5.807
   -5.774   -5.774   -5.769   -5.769   -5.742   -5.741   -5.730    5.390    7.799   10.293
   11.078   11.564   11.753   11.835   13.121   13.124   13.303   13.841   13.860   13.870
   13.895   16.593   16.618   16.694   17.022   17.028   17.676   17.816   19.031   19.073
            0.055550  0.096215  0.000000
  -45.382  -45.262  -45.259  -19.963  -19.650  -19.640  -19.537  -19.412  -19.409  -19.166
  -19.008  -18.992   -5.918   -5.854   -5.852   -5.832   -5.820   -5.819   -5.805   -5.805
   -5.772   -5.771   -5.770   -5.769   -5.741   -5.739   -5.730    5.437    7.823   10.056
   11.108   11.615   11.717   11.984   13.139   13.157   13.276   13.788   13.790   13.904
   13.914   16.552   16.637   16.646   16.999   17.036   17.767   17.928   18.980   19.106
            0.083325  0.144323  0.000000
  -45.379  -45.265  -45.259  -19.943  -19.647  -19.625  -19.534  -19.415  -19.409  -19.177
  -19.034  -18.997   -5.917   -5.859   -5.854   -5.833   -5.821   -5.821   -5.803   -5.802
   -5.772   -5.770   -5.768   -5.766   -5.739   -5.736   -5.731    5.514    7.859    9.754
   11.156   11.621   11.733   12.132   13.158   13.219   13.232   13.704   13.714   13.938
   13.961   16.489   16.541   16.679   16.962   17.075   17.873   18.085   18.945   19.096
            0.111100  0.192431  0.000000
  -45.375  -45.269  -45.259  -19.916  -19.643  -19.605  -19.530  -19.420  -19.409  -19.194
  -19.066  -19.005   -5.915   -5.865   -5.856   -5.833   -5.822   -5.822   -5.800   -5.799
   -5.775   -5.770   -5.765   -5.761   -5.737   -5.732   -5.731    5.621    7.903    9.427
   11.222   11.538   11.851   12.234   13.145   13.172   13.308   13.600   13.691   13.960
   14.039   16.401   16.414   16.714   16.912   17.152   17.943   18.263   18.953   19.018
            0.138875  0.240539  0.000000
  -45.370  -45.274  -45.259  -19.884  -19.638  -19.578  -19.524  -19.425  -19.409  -19.218
  -19.102  -19.015   -5.913   -5.872   -5.857   -5.833   -5.823   -5.822   -5.798   -5.796
   -5.778   -5.771   -5.761   -5.756   -5.735   -5.732   -5.727    5.757    7.948    9.096
   11.304   11.442   12.003   12.285   13.071   13.096   13.401   13.485   13.762   13.977
